"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"347";"一种机械加工用托架";"";"";"CN224601140U";"2024-08-29";"B23Q11/00 
B23Q3/00";"";"2026-08-07";"2026-08-07";"100745810";
"348";"刀具寿命预测方法、装置、加工设备及云端设备";"";"";"CN122518134A";"2026-04-09";"B23Q17/00 
B23Q17/09 
G06F18/2411 
G06F18/2415 
G06F18/243 
G06F18/27 
G06N20/10 
G06N20/20 
G06N3/084 
G06N5/01";"";"2026-08-07";"2026-08-07";"100769628";
"349";"一种用于CNC机床的自动送料装置";"";"";"CN224601138U";"2025-08-20";"B23Q7/04";"";"2026-08-07";"2026-08-07";"100738298";
"350";"一种数控沉孔攻牙机";"";"";"CN224600690U";"2025-09-12";"B23G1/44 
B23Q15/22";"";"2026-08-07";"2026-08-07";"100738037";
"351";"一种基于风电零部件生产的数控落地镗铣床及方法";"";"";"CN122518123A";"2026-07-06";"B23Q11/00";"";"2026-08-07";"2026-08-07";"100769411";
"352";"一种阀门法兰盘加工用车铣复合设备";"";"";"CN122518048A";"2026-06-22";"B23P23/02 
B23Q11/00 
B23Q11/10 
B23Q16/02 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100754856";
"353";"一种具有冷却结构的金属工具加工机床";"";"";"CN224601174U";"2024-11-13";"B23Q11/00 
B23Q11/08 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100745993";
"354";"一种用于叶轮加工的双轴车铣复合加工机床";"";"";"CN122518047A";"2026-06-18";"B23C9/00 
B23P23/02 
B23Q11/00 
B23Q3/00";"";"2026-08-07";"2026-08-07";"100750167";
"355";"一种五金加工用辅助送料装置";"";"";"CN224601129U";"2024-09-26";"B23Q7/00";"";"2026-08-07";"2026-08-07";"100736999";
"356";"一种用于批量加工压缩机前盖的工装";"";"";"CN224601100U";"2025-08-05";"B23Q3/08";"";"2026-08-07";"2026-08-07";"100742480";
"357";"一种弹簧垫圈加工用自动上料设备";"";"";"CN224601135U";"2024-11-29";"B23Q7/04";"";"2026-08-07";"2026-08-07";"100743605";
"358";"一种金属底板加工辅助装置";"";"";"CN224600576U";"2025-09-11";"B23B39/00 
B23Q11/00 
B23Q11/10 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100741487";
"359";"用于减少模特手臂连接件周转的一站式加工装置";"";"";"CN224601003U";"2025-08-28";"B23P23/02 
B23Q17/00 
B23Q3/06 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100746056";
"360";"一种微型数控车床";"";"";"CN224600559U";"2026-07-10";"B23B17/00 
B23Q1/01";"";"2026-08-07";"2026-08-07";"100736854";
"361";"一种用于定位器导阀及多类型轴类零件加工的自动化工装";"";"";"CN122518082A";"2026-05-15";"B23Q1/00 
B23Q11/00 
B23Q11/08 
B23Q3/00 
B24B41/06 
B24B5/48";"";"2026-08-07";"2026-08-07";"100756152";
"362";"自动排渣装置及数控机床设备";"";"";"CN122518117A";"2026-05-18";"B23Q11/00";"";"2026-08-07";"2026-08-07";"100754200";
"363";"一种可去除水汽的龙门加工中心";"";"";"CN224601159U";"2025-09-11";"B23Q11/00 
B23Q11/12";"";"2026-08-07";"2026-08-07";"100744853";
"364";"TOOL EXCHANGE DEVICE";"ISOBE GAKU [JP]";"FANUC CORP [JP]";"WO2026163311A1";"2025-01-29";"B23Q3/157";"";"2026-08-06";"2026-08-06";"100769971";
"365";"一种具有防护功能的铝型材加工装置";"";"";"CN224600595U";"2025-07-11";"B23B47/00 
B23Q11/08 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100743324";
"366";"一种实现过载保护的刀塔换刀装置及方法";"";"";"CN122517672A";"2026-06-15";"B23B29/32 
B23Q17/00";"";"2026-08-07";"2026-08-07";"100750038";
"367";"一种滑鞍装配孔位加工用定位治具";"";"";"CN122518095A";"2026-06-12";"B23Q11/00 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100756915";
"368";"一种管桩法兰端板全自动孔加工机及其加工方法";"";"";"CN122518084A";"2026-07-08";"B23B41/00 
B23B47/00 
B23Q1/25 
B23Q3/00 
B23Q3/02";"";"2026-08-07";"2026-08-07";"100767763";
"369";"一种龙门加工中心防护门";"";"";"CN224601164U";"2025-06-29";"B23Q11/08";"";"2026-08-07";"2026-08-07";"100738049";
"370";"一种机床用冷却式中空丝杠结构";"";"";"CN122518107A";"2026-05-29";"B23Q11/00 
B23Q11/12 
B23Q5/40";"";"2026-08-07";"2026-08-07";"100749801";
"371";"一种汽车轮毂的自动化加工系统";"";"";"CN122518042A";"2026-06-29";"B23P23/00 
B23Q1/00 
B23Q3/06 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100768195";
"372";"一种双面加工治具";"";"";"CN224601058U";"2025-06-30";"B23Q3/06 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100745273";
"373";"一种多工位可调式钻孔夹具";"";"";"CN224601090U";"2025-09-14";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100737877";
"374";"一种双面加工夹持装置";"";"";"CN224601040U";"2025-07-29";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100745286";
"375";"MEASUREMENT PATH GENERATING DEVICE, MEASUREMENT PATH GENERATING METHOD, AND MEASUREMENT SYSTEM";"KANEKO HIROKI [JP] 
IKEDA RYOSUKE [JP]";"MITSUBISHI ELECTRIC CORP [JP]";"US20260227179A1";"2023-04-14";"G01B11/02 
G01B11/24 
G01B11/30 
G01B9/02004";"B23Q17/2471 (EP) 
G01B11/005 (EP) 
G01B11/026 (US) 
G01B11/24 (US) 
G01B9/02004 (US) 
G01B11/30 (US)";"2026-08-06";"2024-01-12";"089451966";
"376";"一种数控机床刀架轴";"";"";"CN224601141U";"2024-09-11";"B23Q11/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100744401";
"377";"一种钻头加工碎屑输送收集结构";"";"";"CN224601156U";"2025-09-05";"B23Q11/00";"";"2026-08-07";"2026-08-07";"100747000";
"378";"一种机械自动化定位装置";"";"";"CN224601105U";"2025-08-22";"B23Q3/08";"";"2026-08-07";"2026-08-07";"100735730";
"379";"一种高速钢下料处理用切削装置及其操作方法";"";"";"CN122518066A";"2026-06-24";"B23P23/04 
B23Q11/00 
B23Q3/00";"";"2026-08-07";"2026-08-07";"100754927";
"380";"一种合金钢铸造坯件铣削设备";"";"";"CN122518112A";"2026-07-02";"B23C3/00 
B23Q3/06 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100767695";
"381";"一种高频焊管切割的精准导向定位装置";"";"";"CN122517700A";"2026-07-10";"B23D21/00 
B23D33/00 
B23D33/02 
B23Q1/25 
B23Q23/00";"";"2026-08-07";"2026-08-07";"100750325";
"382";"一种变速箱壳体内腔端面定位装置";"";"";"CN224601038U";"2025-07-03";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100736734";
"383";"一种前横梁支架加工用固定装置";"";"";"CN224601064U";"2025-07-24";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100745080";
"384";"一种双主轴双排刀数控车床的高低轨排屑结构";"";"";"CN224601154U";"2025-09-02";"B23Q11/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100742588";
"385";"一种高效旋转式数控镗铣床";"";"";"CN122518119A";"2026-06-18";"B23Q11/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100762008";
"386";"一种基于夹爪夹持数据的加工误差补偿方法及系统";"";"";"CN122526104A";"2026-06-11";"B23Q17/00 
G05B19/404 
G06T7/00 
G06T7/73";"";"2026-08-07";"2026-08-07";"100756874";
"387";"带装夹自定心的车磨专用机床及轴套类零件加工方法";"";"";"CN122518104A";"2026-07-10";"B23B29/32 
B23P23/04 
B23Q3/12 
B23Q3/18 
B23Q5/40";"";"2026-08-07";"2026-08-07";"100757436";
"388";"SUPPORT TABLE FOR A TOOL";"BERNÁRDEZ RAMÓN [ES]";"NORDEX ENERGY SPAIN SAU [ES]";"WO2026162853A1";"2025-01-31";"B23Q1/03 
B23Q1/74";"";"2026-08-06";"2025-04-01";"095154802";
"389";"METHODS AND ARRANGEMENTS FOR LOW-POWER WAKE-UP SIGNALING";"LI YINGYANG [CN] 
WANG YI [CN] 
XIONG GANG [US] 
ZHANG YUJIAN [CN]";"INTEL CORP [US]";"US20260231030A1";"2023-02-16";"H04B17/318 
H04W52/02";"B23Q16/001 (US) 
B25D5/00 (EP,US) 
H04B17/328 (US) 
H04W52/0235 (US) 
Y02D30/70 (EP)";"2026-08-06";"2024-08-22";"092305574";
"390";"齿条加工用倒角设备";"";"";"CN224600683U";"2025-08-25";"B23F23/06 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100748766";
"391";"一种基于振动信号特征提取的深孔钻机刀具磨损识别方法";"";"";"CN122517679A";"2026-04-24";"B23B49/00 
B23Q17/09";"";"2026-08-07";"2026-08-07";"100762769";
"392";"一种汽车配件精密铣削装置";"";"";"CN122518130A";"2026-06-26";"B23Q11/00 
B23Q11/10 
B23Q5/10";"";"2026-08-07";"2026-08-07";"100753148";
"393";"一种超大超重型环形工件的无翻转精密加工方法";"";"";"CN122518091A";"2026-07-08";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100764232";
"394";"一种智能平管设备及其平管方法";"";"";"CN122518140A";"2026-06-10";"B23B27/22 
B23B5/00 
B23Q17/24";"";"2026-08-07";"2026-08-07";"100749985";
"395";"一种CNC加工用刀具防颤辅助支架";"";"";"CN224601027U";"2025-09-11";"B23Q1/70 
B23Q1/72";"";"2026-08-07";"2026-08-07";"100740421";
"396";"一种新型机床探头";"";"";"CN122518135A";"2026-05-19";"B23Q15/00 
B23Q17/00";"";"2026-08-07";"2026-08-07";"100758183";
"397";"一种滑动机床地轨";"";"";"CN224601015U";"2025-07-15";"B23Q1/01 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100736154";
"398";"一种可多角度调节的斜切工具";"";"";"CN224601900U";"2025-09-10";"B08B5/04 
B23D33/00 
B23D33/02 
B23Q11/00 
B26D3/02 
B26D7/00 
B26D7/18 
B26D7/26 
B27C5/00";"";"2026-08-07";"2026-08-07";"100739607";
"399";"一种锁芯阀位精密加工设备";"";"";"CN224601166U";"2025-07-29";"B23Q11/00 
B23Q11/08 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100746670";
"400";"一种数控立车设备切削液自动供液装置";"";"";"CN224601177U";"2025-07-23";"B23Q11/10";"";"2026-08-07";"2026-08-07";"100737769";
"401";"一种维修机床用辊刀更换结构";"";"";"CN224601125U";"2025-08-26";"B23Q3/157";"";"2026-08-07";"2026-08-07";"100736645";
"402";"一种数控龙门铣床铣头冷却组件";"";"";"CN224600616U";"2024-08-30";"B23C9/00 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100744214";
"403";"一种阀门加工用快速夹紧装置";"";"";"CN224601052U";"2024-08-23";"B23Q3/06 
B25B11/00";"";"2026-08-07";"2026-08-07";"100741916";
"404";"可切换双工位钻铣设备及其控制方法";"";"";"CN122518081A";"2026-07-13";"B23P23/02 
B23Q1/46 
B23Q1/66";"";"2026-08-07";"2026-08-07";"100766340";
"405";"基于隐空间频谱幅度表征学习的立铣刀磨损状态评估方法";"";"";"CN122527606A";"2026-07-10";"B23Q17/09 
G06F18/10 
G06F18/20 
G06F18/2131 
G06F18/2136 
G06F18/214 
G06F18/25 
G06N3/045 
G06N3/0464 
G06N3/084 
G06N3/096 
G06N3/0985 
G07C3/00 
G06F123/02";"";"2026-08-07";"2026-08-07";"100753436";
"406";"一种超大型舰船舵叶内锥孔加工装置";"";"";"CN122518105A";"2026-07-10";"B23B41/00 
B23Q15/013 
B23Q3/16 
B23Q5/10 
B23Q5/28";"";"2026-08-07";"2026-08-07";"100767894";
"407";"一种压缩机气缸套外圆精加工用夹具";"";"";"CN224601046U";"2025-09-09";"B23Q17/22 
B23Q3/00 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100738384";
"408";"一种多工位夹具";"";"";"CN224601031U";"2024-10-11";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100735946";
"409";"具有主轴刀具修整及自动补正功能的加工机";"";"";"CN224601106U";"2025-08-29";"B23K26/00 
B23Q11/00 
B23Q17/00 
B23Q17/24 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100737778";
"410";"CHIP-BREAKING TURNING CONTROL DEVICE AND MACHINE TOOL EQUIPPED WITH SAME";"OHARA KENJI [JP] 
NAKANISHI KENICHI [JP] 
GOBO JUNICHI [JP] 
ISHIYAMA HIROKI [JP]";"NAKAMURA TOME PRECISION IND [JP]";"WO2026163443A1";"2025-02-03";"B23B1/00 
B23Q15/013";"";"2026-08-06";"2026-08-06";"100770074";
"411";"COOLANT SYSTEM, PROCESSING SYSTEM, FOREIGN MATTER REMOVAL METHOD, AND PROGRAM";"MATSUNAGA TAKUYA [JP] 
RYUTA TORAHARU [JP] 
KISHI YOSUKE [JP] 
TERAOKA HIROKI [JP]";"YAMAZAKI MAZAK CORP [JP]";"WO2026163435A1";"2025-01-30";"B23Q11/00 
B23Q11/10";"";"2026-08-06";"2025-08-13";"096697847";
"412";"一种新型太阳能光伏边框打孔设备";"";"";"CN224601157U";"2025-09-08";"B23B41/00 
B23Q11/00 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100735173";
"413";"一种PEEK棒材层级加工工艺";"";"";"CN122517659A";"2026-06-22";"B23B1/00 
B23B27/14 
B23Q5/22 
B26D7/08 
B26F1/16";"";"2026-08-07";"2026-08-07";"100767457";
"414";"防振型精密机床";"";"";"CN224601145U";"2024-10-30";"B23Q11/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100737887";
"415";"一种可进行双向刨削的龙门刨床";"";"";"CN224600617U";"2025-08-29";"B23D7/02 
B23Q1/25";"";"2026-08-07";"2026-08-07";"100748798";
"416";"一种用于金属波纹管的切割装置";"";"";"CN224600634U";"2024-09-13";"B23D21/00 
B23D33/04 
B23Q1/25 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100736104";
"417";"一种可调直径的模块化螺套丝锥";"";"";"CN224600692U";"2025-09-15";"B23G1/44 
B23Q1/25 
B23Q5/40";"";"2026-08-07";"2026-08-07";"100740699";
"418";"CORRECTION AMOUNT CALCULATION DEVICE AND COMPUTER-READABLE RECORDING MEDIUM";"OTSUKA HIDAKA [JP] 
KAYANUMA TOMOKAZU [JP] 
NISHIKAWA SOTA [JP]";"FANUC CORP [JP]";"WO2026163362A1";"2025-01-30";"B23Q15/18 
G05B19/404";"";"2026-08-06";"2026-08-06";"100771202";
"419";"一种设有隐藏式移动结构的控制面板防尘护罩";"";"";"CN224601163U";"2025-06-16";"B23Q11/08";"";"2026-08-07";"2026-08-07";"100742301";
"420";"一种制动杆车削装置";"";"";"CN224601091U";"2025-09-15";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100736714";
"421";"一种铝压铸件钻孔加工装置";"";"";"CN224601172U";"2025-09-09";"B23Q11/08 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100744420";
"422";"一种建筑工程用钢管打孔装置";"";"";"CN224600582U";"2024-08-23";"B23B41/00 
B23Q11/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100745158";
"423";"一种机床滑枕进给装置的定位方法";"";"";"CN122518106A";"2026-06-29";"B23P21/00 
B23Q5/34 
B23Q5/40";"";"2026-08-07";"2026-08-07";"100757194";
"424";"一种用于钻床的辅助夹持设备";"";"";"CN224601086U";"2025-09-10";"B23Q17/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100748671";
"425";"一种大口径热力管道开孔装置";"";"";"CN122518054A";"2026-07-09";"B23P23/02 
B23Q11/00 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100768367";
"426";"一种航空零部件用数控切割装置及方法";"";"";"CN122517697A";"2026-06-26";"B23D33/00 
B23Q15/26 
B23Q3/06 
B23Q3/155";"";"2026-08-07";"2026-08-07";"100754942";
"427";"用于胫骨平台产品锯床切尾加工的装夹工装";"";"";"CN224601079U";"2025-08-28";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100743496";
"428";"一种五轴数控螺纹磨床的辅助器";"";"";"CN122517722A";"2026-06-05";"B23G1/36 
B23G1/44 
B23Q17/24 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100756782";
"429";"笔记本上盖的抛光方法";"";"";"CN122518144A";"2022-10-21";"B24B1/00 
B24B29/02 
B24B41/06";"B23C3/00 (CN) 
B23Q3/06 (CN) 
B23Q3/062 (CN)";"2026-08-07";"2024-04-30";"090803673";
"430";"一种数控机床刀具更换用快速定位机构";"";"";"CN224601045U";"2025-09-09";"B23Q11/10 
B23Q3/00";"";"2026-08-07";"2026-08-07";"100742291";
"431";"一种非标件生产开槽机";"";"";"CN224600608U";"2025-08-25";"B23C3/28 
B23Q11/00 
B23Q11/08 
B23Q3/155";"";"2026-08-07";"2026-08-07";"100746171";
"432";"一种液压阀阀体钻孔攻丝一体化加工装置";"";"";"CN122518055A";"2026-07-10";"B23P23/02 
B23Q3/06 
B23Q5/26 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100768540";
"433";"VORRICHTUNG ZUR STAUBFREIEN BEHANDLUNG";"LINQVIST TOMMY [FI] 
BÄCK SIMON [FI] 
SÖDERGÅRD TOMAS [FI]";"MIRKA LTD [FI]";"EP4785838A1";"2025-02-03";"A47L7/00";"A47L7/0095 (EP,FI) 
A47L9/2805 (FI) 
A47L9/2842 (FI) 
A47L9/2894 (FI) 
B23D59/0064 (FI) 
B23Q11/0046 (EP,FI) 
B24B55/06 (FI)";"2026-08-05";"2026-08-04";"098434435";
"434";"一种自动换刀结构的立式钻攻加工中心";"";"";"CN122518045A";"2026-05-22";"B23P23/02 
B23Q3/155";"";"2026-08-07";"2026-08-07";"100758313";
"435";"一种圆钢切割机中空支撑台";"";"";"CN224600642U";"2025-09-11";"B23D33/02 
B23Q11/00 
B23Q11/08 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100738697";
"436";"一种铝合金门窗开槽机";"";"";"CN224600607U";"2024-10-15";"B23C3/28 
B23C9/00 
B23Q1/25 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100742404";
"437";"一种用于单端面多孔位加工的车床夹具";"";"";"CN224601041U";"2025-08-12";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100742942";
"438";"面向小样本场景的铣削多模态颤振检测方法及系统";"";"";"CN122518138A";"2026-05-22";"B23C9/00 
B23Q17/12 
B25J11/00 
G05B19/408";"";"2026-08-07";"2026-08-07";"100758257";
"439";"FERTIGUNGSMASCHINE ZUR HERSTELLUNG VON OPTISCH WIRKSAMEN OBERFLÄCHEN AN WERKSTÜCKEN MIT OPTISCHEN EIGENSCHAFTEN";"WALLENDORF STEFFEN [DE] 
SCHLICHT MAXIMILIAN [DE] 
SCHMIDT MARKUS [DE] 
SÖHNGEN SWEN [DE] 
SEIFRIED STEFAN [DE]";"OPTOTECH OPTIKMASCH GMBH [DE] 
WALLENDORF STEFFEN [DE] 
SCHLICHT MAXIMILIAN [DE] 
SCHMIDT MARKUS [DE] 
SOEHNGEN SWEN [DE] 
SEIFRIED STEFAN [DE]";"WO2026162133A1";"2025-01-29";"B23Q7/04 
B24B27/00 
B24B41/00 
B29D11/00";"B24B27/0069 (EP) 
B24B41/005 (EP) 
B29D11/00423 (EP) 
B29D11/00932 (EP) 
B24B13/0037 (EP) 
B24B13/0055 (EP) 
B24B13/046 (EP)";"2026-08-06";"2026-08-06";"094478670";
"440";"一种铝材加工的多定位复合铣削机构";"";"";"CN122517683A";"2026-06-07";"B23C3/00 
B23C9/00 
B23Q11/00 
B23Q11/10 
B23Q3/00 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100754610";
"441";"激光测量机构";"";"";"CN224601187U";"2025-09-10";"B23Q11/08 
B23Q17/24";"";"2026-08-07";"2026-08-07";"100747287";
"442";"一种盆式绝缘子模具加工打孔装置";"";"";"CN224600591U";"2025-09-11";"B23B41/00 
B23Q3/00";"";"2026-08-07";"2026-08-07";"100739511";
